area_type,availability,location,total_sqft,bath,balcony,price,BHK,price_per_sqft,sqft_per_bhk
Super built-up  Area,Ready To Move,Jakkur,1050.0,2.0,1.0,49.87,2,4749.524,525.0
Built-up  Area,18-Dec,Electronic City,1400.0,2.0,1.0,40.44,3,2888.571,466.667
Plot  Area,17-Dec,Bagalakunte,2360.0,4.0,2.0,150.0,4,6355.932,590.0
Super built-up  Area,Ready To Move,Banashankari stage 2,1030.0,2.0,1.0,77.25,2,7500.0,515.0
Super built-up  Area,Ready To Move,Doddanakundi Industrial Area 2,1512.0,1.0,2.0,65.01,2,4299.603,756.0
Built-up  Area,Ready To Move,Subramanyapura,929.0,2.0,1.0,48.0,2,5166.846,464.5
Super built-up  Area,Ready To Move,Jigani,1252.0,3.0,3.0,61.0,3,4872.204,417.333
Built-up  Area,Ready To Move,Green Glen Layout,1485.0,3.0,2.0,115.0,3,7744.108,495.0
Super built-up  Area,Ready To Move,Electronics City Phase 1,1124.0,2.0,2.0,55.0,3,4893.238,374.667
Plot  Area,Ready To Move,TC Palaya,2400.0,6.0,3.0,370.0,6,15416.667,400.0
Built-up  Area,Ready To Move,Indira Nagar,1407.0,3.0,1.0,120.0,3,8528.785,469.0
Super built-up  Area,19-Mar,Hennur Road,1482.0,2.0,3.0,97.0,3,6545.209,494.0
Super built-up  Area,Ready To Move,Sector 7 HSR Layout,1163.0,2.0,1.0,98.86,2,8500.43,581.5
Super built-up  Area,Ready To Move,Jalahalli,1570.0,3.0,2.0,140.0,3,8917.197,523.333
Super built-up  Area,18-Feb,Whitefield,3480.0,4.0,2.0,284.0,3,8160.92,1160.0
Super built-up  Area,19-Sep,Chandapura,520.0,1.0,1.0,14.04,1,2700.0,520.0
Super built-up  Area,Ready To Move,OLd Gurappanapalya,2000.0,3.0,2.0,160.0,3,8000.0,666.667
Super built-up  Area,Ready To Move,Prithvi Layout,1352.0,2.0,2.0,75.0,2,5547.337,676.0
Super built-up  Area,18-Apr,Electronic City,1152.0,2.0,1.0,65.0,2,5642.361,576.0
Built-up  Area,20-Dec,"ECC Road, Whitefield, ",1575.0,3.0,2.0,93.0,3,5904.762,525.0
Super built-up  Area,Ready To Move,Hegde Nagar,1965.0,4.0,2.0,125.0,3,6361.323,655.0
Built-up  Area,Ready To Move,Ramanjaneyanagar,1300.0,2.0,2.0,70.0,3,5384.615,433.333
Plot  Area,Ready To Move,Sarjapur  Road,1.0,4.0,2.0,120.0,4,12000000.0,0.25
Super built-up  Area,18-Apr,Marathahalli,957.0,2.0,1.0,47.0,2,4911.181,478.5
Super built-up  Area,Ready To Move,Hoskote,1740.0,3.0,3.0,60.0,3,3448.276,580.0
Plot  Area,Ready To Move,Kanakpura Road,1080.0,6.0,3.0,65.0,5,6018.519,216.0
Super built-up  Area,Ready To Move,Neeladri Nagar,1060.0,2.0,0.0,35.0,2,3301.887,530.0
Carpet  Area,Ready To Move,Chikkadunnasandra,975.0,2.0,2.0,50.0,2,5128.205,487.5
Super built-up  Area,18-May,Ramamurthy Nagar,1150.0,2.0,2.0,51.0,2,4434.783,575.0
Super built-up  Area,Ready To Move,Whitefield,1738.0,2.0,3.0,79.0,3,4545.455,579.333
Super built-up  Area,18-May,Bommanahalli,1250.0,3.0,2.0,55.0,3,4400.0,416.667
Built-up  Area,Ready To Move,Bannerghatta Road,1788.0,3.0,2.0,90.0,3,5033.557,596.0
Super built-up  Area,19-Dec,Kanakapura,1151.0,2.0,1.0,59.0,2,5125.977,575.5
Super built-up  Area,Ready To Move,Uttarahalli,1300.0,2.0,2.0,60.0,3,4615.385,433.333
Super built-up  Area,Ready To Move,Garudachar Palya,1150.0,2.0,1.0,52.8,2,4591.304,575.0
Super built-up  Area,Ready To Move,Akshya Nagar,1380.0,2.0,1.0,75.0,2,5434.783,690.0
Super built-up  Area,19-Jun,Hebbal,1645.0,3.0,2.0,117.0,3,7112.462,548.333
Super built-up  Area,Ready To Move,Babusapalaya,1141.0,2.0,1.0,45.9,2,4022.787,570.5
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1175.0,2.0,2.0,82.5,2,7021.277,587.5
Super built-up  Area,Ready To Move,Banashankari Stage V,1355.0,2.0,1.0,61.0,3,4501.845,451.667
Built-up  Area,Ready To Move,Dasarahalli,1150.0,2.0,0.0,70.0,2,6086.957,575.0
Super built-up  Area,18-May,Indranagar  100ft road defence colony,5800.0,5.0,2.0,80.0,5,1379.31,1160.0
Built-up  Area,Ready To Move,Canara Bank Colony,1000.0,2.0,2.0,45.0,2,4500.0,500.0
Super built-up  Area,20-Jan,Balagere,1007.0,2.0,1.0,65.0,2,6454.816,503.5
Super built-up  Area,Ready To Move,Wajid layout thanisandra,3000.0,5.0,2.0,100.0,4,3333.333,750.0
Super built-up  Area,Ready To Move,Kothanur,1436.0,3.0,3.0,70.0,3,4874.652,478.667
Super built-up  Area,Ready To Move,Marathahalli,4000.0,4.0,3.0,220.0,4,5500.0,1000.0
Built-up  Area,Ready To Move,Somasundara Palya,2372.0,3.0,2.0,140.0,3,5902.192,790.667
Plot  Area,Ready To Move,R.T. Nagar,1500.0,6.0,2.0,240.0,6,16000.0,250.0
Super built-up  Area,18-Jan,BTM Layout,1280.0,3.0,2.0,10.0,3,781.25,426.667
Plot  Area,Ready To Move,Rajaji Nagar,1200.0,2.0,0.0,150.0,2,12500.0,600.0
Super built-up  Area,18-Mar,Rayasandra,1016.0,2.0,1.0,58.0,2,5708.661,508.0
Super built-up  Area,Ready To Move,Dodda Nekkundi,1100.0,2.0,2.0,48.0,2,4363.636,550.0
Super built-up  Area,Ready To Move,B Channasandra,1080.0,2.0,1.0,45.0,2,4166.667,540.0
Super built-up  Area,Ready To Move,Electronic City,1070.0,2.0,1.0,60.0,2,5607.477,535.0
Super built-up  Area,Ready To Move,Kadubeesanahalli,1532.0,3.0,1.0,115.0,3,7506.527,510.667
Super built-up  Area,Ready To Move,Hennur,1040.0,2.0,2.0,42.12,2,4050.0,520.0
Plot  Area,Ready To Move,Laxmi Sagar Layout,3100.0,3.0,3.0,250.0,3,8064.516,1033.333
Super built-up  Area,21-Jun,Tumkur Road,1137.5,2.0,0.0,48.905,2,4299.341,568.75
Super built-up  Area,Ready To Move,Thanisandra,1430.0,2.0,2.0,51.6,3,3608.392,476.667
Plot  Area,Ready To Move,Rajaji Nagar,1160.0,1.0,0.0,163.0,2,14051.724,580.0
Super built-up  Area,Ready To Move,ITPL,3262.0,5.0,2.0,205.0,4,6284.488,815.5
Plot  Area,Ready To Move,Achins Road,2100.0,7.0,0.0,410.0,7,19523.81,300.0
Built-up  Area,Ready To Move,Uvce Layout,1190.0,2.0,2.0,100.0,2,8403.361,595.0
Super built-up  Area,Ready To Move,Panduranga Nagar,1827.0,3.0,3.0,100.0,3,5473.454,609.0
Super built-up  Area,Ready To Move,HRBR Layout,1210.0,2.0,1.0,75.0,2,6198.347,605.0
Super built-up  Area,Ready To Move,New Thippasandra,1500.0,3.0,3.0,95.0,3,6333.333,500.0
Super built-up  Area,21-Mar,Hebbal,1251.0,2.0,1.0,88.73,2,7092.726,625.5
Super built-up  Area,Ready To Move,HSR Layout,1600.0,2.0,2.0,115.0,3,7187.5,533.333
Super built-up  Area,18-Apr,Electronic City,1128.0,2.0,1.0,65.5,2,5806.738,564.0
Super built-up  Area,Ready To Move,Budigere,1820.0,3.0,2.0,93.0,3,5109.89,606.667
Super built-up  Area,Ready To Move,Thigalarapalya,2072.0,4.0,2.0,159.0,3,7673.745,690.667
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,1510.0,2.0,3.0,59.0,3,3907.285,503.333
Super built-up  Area,Ready To Move,Hoodi,1925.0,2.0,3.0,114.0,3,5922.078,641.667
Plot  Area,Ready To Move,Hennur Road,2651.0,2.0,2.0,225.0,3,8487.363,883.667
Super built-up  Area,Ready To Move,Thigalarapalya,2072.0,4.0,2.0,147.0,3,7094.595,690.667
Super built-up  Area,Ready To Move,Kumaraswami Layout,1000.0,2.0,2.0,36.0,2,3600.0,500.0
Plot  Area,Ready To Move,KR Puram,1752.0,3.0,2.0,145.0,3,8276.256,584.0
Super built-up  Area,Ready To Move,Sahakara Nagar,960.0,2.0,3.0,56.0,2,5833.333,480.0
Super built-up  Area,Ready To Move,Gattigere,1180.0,2.0,2.0,63.0,2,5338.983,590.0
Built-up  Area,Ready To Move,Benson Town,2270.0,3.0,1.0,180.0,3,7929.515,756.667
Built-up  Area,Ready To Move,NRI Layout,650.0,2.0,0.0,59.0,2,9076.923,325.0
Super built-up  Area,Ready To Move,Lakshminarayana Pura,1200.0,2.0,1.0,75.0,2,6250.0,600.0
Super built-up  Area,Ready To Move,Bisuvanahalli,1180.0,2.0,1.0,46.0,3,3898.305,393.333
Super built-up  Area,18-Jan,Roopena Agrahara,1300.0,3.0,2.0,47.0,3,3615.385,433.333
Built-up  Area,Ready To Move,Bannerghatta Road,1157.0,2.0,0.0,40.0,2,3457.217,578.5
Super built-up  Area,21-Jan,Kanakpura Road,1300.0,3.0,2.0,69.0,3,5307.692,433.333
Super built-up  Area,Ready To Move,Banashankari Stage III,1305.0,2.0,1.0,59.0,3,4521.073,435.0
Super built-up  Area,Ready To Move,Hegde Nagar,2006.0,4.0,2.0,196.0,3,9770.688,668.667
Super built-up  Area,Ready To Move,Jakkur,1290.0,2.0,1.0,80.0,2,6201.55,645.0
Super built-up  Area,Ready To Move,Hoskote,1170.0,2.0,3.0,45.0,2,3846.154,585.0
Plot  Area,Ready To Move,Cottonpet,971.0,2.0,2.0,135.0,4,13903.193,242.75
Super built-up  Area,Ready To Move,Yelachenahalli,1400.0,2.0,3.0,78.0,2,5571.429,700.0
Super built-up  Area,Ready To Move,Lakshminarayana Pura,1200.0,2.0,2.0,75.0,2,6250.0,600.0
Built-up  Area,Ready To Move,Kamakshipalya,1155.0,2.0,0.0,60.0,3,5194.805,385.0
Built-up  Area,Ready To Move,Hormavu,1725.0,3.0,2.0,85.0,3,4927.536,575.0
Super built-up  Area,21-Oct,Kanakpura Road,700.0,2.0,1.0,40.0,2,5714.286,350.0
Built-up  Area,Ready To Move,Yemlur,7000.0,5.0,2.0,2050.0,4,29285.714,1750.0
Super built-up  Area,22-Jun,Hoodi,1112.0,2.0,1.0,88.0,2,7913.669,556.0
Super built-up  Area,Ready To Move,Somasundara Palya,1178.0,2.0,2.0,78.0,2,6621.392,589.0
Super built-up  Area,20-Jan,Badavala Nagar,1274.0,2.0,1.0,81.0,2,6357.928,637.0
Super built-up  Area,Ready To Move,Doddathoguru,915.0,2.0,1.0,32.0,2,3497.268,457.5
Plot  Area,Ready To Move,6th Phase JP Nagar,1650.0,6.0,2.0,135.0,8,8181.818,206.25
Super built-up  Area,Ready To Move,Hosur Road,760.0,1.0,2.0,21.28,1,2800.0,760.0
Built-up  Area,Ready To Move,Maragondanahalli,1540.0,3.0,2.0,68.0,3,4415.584,513.333
Super built-up  Area,Ready To Move,P&T Layout,1206.0,2.0,3.0,38.5,2,3192.371,603.0
Super built-up  Area,Ready To Move,Basavanna Nagar,1645.0,3.0,2.0,95.0,3,5775.076,548.333
Plot  Area,Ready To Move,Canara Bank Layout,1200.0,4.0,2.0,170.0,4,14166.667,300.0
Plot  Area,Ready To Move,singapura paradise,1200.0,4.0,1.0,140.0,4,11666.667,300.0
Super built-up  Area,Ready To Move,Nehru Nagar,2342.0,3.0,2.0,115.0,4,4910.333,585.5
Super built-up  Area,Ready To Move,Kannur,1200.0,2.0,1.0,55.0,3,4583.333,400.0
Super built-up  Area,Ready To Move,Yelenahalli,1056.0,2.0,2.0,33.0,2,3125.0,528.0
Plot  Area,Ready To Move,Raja Rajeshwari Nagar,4800.0,8.0,2.0,225.0,8,4687.5,600.0
Super built-up  Area,Ready To Move,Kanakpura Road,1450.0,3.0,3.0,54.3,3,3744.828,483.333
Super built-up  Area,18-Apr,Thirumenahalli,1161.0,2.0,2.0,36.69,2,3160.207,580.5
Super built-up  Area,Ready To Move,Dollars Colony,1097.0,2.0,3.0,65.0,2,5925.251,548.5
Built-up  Area,Ready To Move,Uttarahalli,850.0,2.0,2.0,35.0,2,4117.647,425.0
Super built-up  Area,Ready To Move,Green Glen Layout,1715.0,3.0,2.0,115.0,3,6705.539,571.667
Super built-up  Area,Ready To Move,Basavangudi,2300.0,3.0,2.0,317.0,3,13782.609,766.667
Super built-up  Area,Ready To Move,Electronic City,1200.0,2.0,1.0,59.0,2,4916.667,600.0
Super built-up  Area,18-Oct,8th Phase JP Nagar,1080.0,2.0,2.0,38.0,2,3518.519,540.0
Super built-up  Area,Ready To Move,Kasavanhalli,1200.0,2.0,1.0,50.3,2,4191.667,600.0
Plot  Area,Ready To Move,4th Block Koramangala,2400.0,4.0,0.0,550.0,4,22916.667,600.0
Super built-up  Area,Ready To Move,Banashankari,1400.0,2.0,1.0,78.0,3,5571.429,466.667
Plot  Area,Ready To Move,Whitefield,1500.0,4.0,3.0,200.0,4,13333.333,375.0
Carpet  Area,20-Dec,Kanakpura Road,458.0,1.0,0.0,19.695,1,4300.218,458.0
Super built-up  Area,Ready To Move,Marathahalli,1230.0,2.0,1.0,57.0,2,4634.146,615.0
Built-up  Area,Ready To Move,Kalyan nagar,1640.0,3.0,3.0,88.0,3,5365.854,546.667
Super built-up  Area,Ready To Move,Banashankari,1700.0,3.0,2.0,125.0,3,7352.941,566.667
Super built-up  Area,Ready To Move,Bommasandra,1478.0,2.0,2.0,44.0,3,2976.996,492.667
Super built-up  Area,Ready To Move,Defence Colony,6600.0,4.0,2.0,986.0,4,14939.394,1650.0
Super built-up  Area,Ready To Move,Banashankari,1020.0,2.0,2.0,40.79,2,3999.02,510.0
Built-up  Area,Ready To Move,Yelahanka,1275.0,2.0,2.0,95.0,3,7450.98,425.0
Built-up  Area,Ready To Move,Cambridge Layout,1600.0,3.0,1.0,165.0,4,10312.5,400.0
Super built-up  Area,Ready To Move,Kanakapura,1110.0,2.0,2.0,38.85,2,3500.0,555.0
Super built-up  Area,Ready To Move,Uttarahalli,1627.86,3.0,2.0,88.0,3,5405.87,542.62
Built-up  Area,Ready To Move,Byagadadhenahalli,620.0,2.0,1.0,22.0,2,3548.387,310.0
Plot  Area,Ready To Move,Whitefield,3004.0,4.0,2.0,285.0,4,9487.35,751.0
Super built-up  Area,18-May,Hosa Road,1133.0,2.0,1.0,52.0,2,4589.585,566.5
Super built-up  Area,Ready To Move,Hennur Road,1182.0,2.0,2.0,82.5,2,6979.695,591.0
Super built-up  Area,Ready To Move,Tumkur Road,1500.0,3.0,3.0,100.0,3,6666.667,500.0
Super built-up  Area,Ready To Move,Hebbal Kempapura,3900.0,5.0,2.0,360.0,4,9230.769,975.0
Super built-up  Area,Ready To Move,Marathahalli,1200.0,2.0,2.0,58.0,2,4833.333,600.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,1128.0,2.0,1.0,48.79,2,4325.355,564.0
Super built-up  Area,Ready To Move,Malleshwaram,2345.0,2.0,2.0,293.0,3,12494.67,781.667
Built-up  Area,Ready To Move,Jayanagar,900.0,2.0,2.0,110.0,2,12222.222,450.0
Built-up  Area,Ready To Move,Amruthahalli,1100.0,2.0,1.0,45.0,2,4090.909,550.0
Super built-up  Area,Ready To Move,Kengeri Satellite Town,635.0,1.0,1.0,22.0,2,3464.567,317.5
Super built-up  Area,Ready To Move,Ardendale,2062.0,3.0,2.0,140.0,4,6789.525,515.5
Built-up  Area,Ready To Move,Thanisandra,1874.0,4.0,1.0,130.0,3,6937.033,624.667
Plot  Area,18-Apr,Vidyaranyapura,600.0,3.0,2.0,78.0,4,13000.0,150.0
Super built-up  Area,18-Jun,Old Madras Road,1171.0,2.0,2.0,75.0,2,6404.782,585.5
Super built-up  Area,Ready To Move,Sarjapur,2020.0,3.0,3.0,85.0,3,4207.921,673.333
Super built-up  Area,18-Jan,8th Phase JP Nagar,1059.0,2.0,2.0,34.5,2,3257.79,529.5
Super built-up  Area,Ready To Move,Panathur,1315.0,2.0,1.0,59.1,3,4494.297,438.333
Super built-up  Area,Ready To Move,Jakkur,1760.0,3.0,2.0,110.0,3,6250.0,586.667
Built-up  Area,Ready To Move,Sampangi Rama Nagar,1200.0,2.0,1.0,125.0,2,10416.667,600.0
Super built-up  Area,Ready To Move,Hennur Road,1192.0,2.0,1.0,62.0,3,5201.342,397.333
Super built-up  Area,19-Jun,Hebbal,1645.0,3.0,2.0,121.0,3,7355.623,548.333
Super built-up  Area,Ready To Move,Whitefield,1250.0,2.0,2.0,72.0,2,5760.0,625.0
Super built-up  Area,19-Dec,Whitefield,709.0,1.0,0.0,34.385,1,4849.788,709.0
Super built-up  Area,Ready To Move,Whitefield,1340.0,2.0,1.0,77.0,2,5746.269,670.0
Built-up  Area,Ready To Move,Cooke Town,2388.0,4.0,3.0,239.0,3,10008.375,796.0
Super built-up  Area,18-Jun,Hosa Road,1369.1,2.0,1.0,104.0,2,7596.231,684.55
Super built-up  Area,Ready To Move,Jalahalli West,1355.0,2.0,3.0,75.0,2,5535.055,677.5
Built-up  Area,Ready To Move,Bannerghatta Road,1150.0,2.0,2.0,65.0,2,5652.174,575.0
Super built-up  Area,19-Dec,Kanakapura,1938.0,3.0,3.0,113.0,3,5830.753,646.0
Super built-up  Area,19-Jun,Begur Road,2462.0,4.0,3.0,124.0,4,5036.556,615.5
Super built-up  Area,Ready To Move,Budigere,1636.0,3.0,2.0,85.0,3,5195.599,545.333
Super built-up  Area,Ready To Move,Akshaya Nagar,1430.0,2.0,2.0,75.0,3,5244.755,476.667
Super built-up  Area,Ready To Move,BEML Layout 5th stage,2000.0,3.0,2.0,85.0,3,4250.0,666.667
Carpet  Area,18-May,Electronic City Phase II,993.0,2.0,2.0,50.0,3,5035.247,331.0
Plot  Area,Ready To Move,Laggere,1260.0,4.0,1.0,150.0,4,11904.762,315.0
Super built-up  Area,Ready To Move,Kanakpura Road,1700.0,3.0,3.0,88.0,3,5176.471,566.667
Super built-up  Area,Ready To Move,Yelahanka,1270.0,2.0,2.0,78.0,2,6141.732,635.0
Plot  Area,18-Apr,Anjanapura,1500.0,3.0,1.0,121.0,3,8066.667,500.0
Built-up  Area,Ready To Move,Koramangala,2300.0,3.0,3.0,290.0,3,12608.696,766.667
Plot  Area,18-Mar,Hunasamaranahalli,7500.0,4.0,2.0,900.0,4,12000.0,1875.0
Super built-up  Area,Ready To Move,Marathahalli,1650.0,3.0,3.0,86.45,3,5239.394,550.0
Super built-up  Area,Ready To Move,Panathur,1109.0,2.0,1.0,63.0,2,5680.794,554.5
Super built-up  Area,Ready To Move,Pragathi Nagar,1280.0,2.0,1.0,49.75,2,3886.719,640.0
Built-up  Area,Ready To Move,Sarjapur,2885.0,3.0,1.0,185.0,4,6412.478,721.25
Plot  Area,Ready To Move,Banashankari,1200.0,9.0,1.0,145.0,9,12083.333,133.333
Plot  Area,Ready To Move,Devanahalli,1600.0,3.0,2.0,180.0,3,11250.0,533.333
Super built-up  Area,Ready To Move,Kothanur,1462.0,3.0,3.0,71.0,3,4856.361,487.333
Super built-up  Area,19-Mar,Marathahalli,607.0,1.0,1.0,35.0,1,5766.063,607.0
Super built-up  Area,Ready To Move,Kammasandra,930.0,2.0,0.0,25.0,2,2688.172,465.0
Plot  Area,17-Nov,Varthur,4500.0,5.0,2.0,300.0,4,6666.667,1125.0
Plot  Area,Ready To Move,Sahakara Nagar,1200.0,5.0,2.0,160.0,5,13333.333,240.0
Super built-up  Area,Ready To Move,Malleshwaram,2600.0,3.0,1.0,237.0,3,9115.385,866.667
Super built-up  Area,Ready To Move,JP Nagar,3000.0,4.0,2.0,140.0,4,4666.667,750.0
Super built-up  Area,18-May,Electronic City Phase II,1418.0,3.0,2.0,52.47,3,3700.282,472.667
Built-up  Area,Ready To Move,Ramesh Nagar,4200.0,1.0,2.0,160.0,2,3809.524,2100.0
Built-up  Area,Ready To Move,EPIP Zone,1125.0,2.0,1.0,65.0,2,5777.778,562.5
Super built-up  Area,Ready To Move,CV Raman Nagar,1825.0,3.0,2.0,126.0,3,6904.11,608.333
Super built-up  Area,Ready To Move,Whitefield,1320.0,2.0,3.0,79.5,2,6022.727,660.0
Built-up  Area,Ready To Move,JP Nagar,3000.0,4.0,2.0,140.0,4,4666.667,750.0
Super built-up  Area,Ready To Move,HAL 2nd Stage,1490.0,2.0,2.0,300.0,3,20134.228,496.667
Plot  Area,Ready To Move,8th block Koramangala,1650.0,3.0,1.0,300.0,4,18181.818,412.5
Super built-up  Area,20-Dec,Whitefield,750.0,2.0,1.0,52.7,2,7026.667,375.0
Super built-up  Area,19-Dec,Yelahanka,1400.0,2.0,2.0,80.54,3,5752.857,466.667
Super built-up  Area,Ready To Move,Sathya Sai Layout,4104.0,4.0,3.0,360.0,4,8771.93,1026.0
Built-up  Area,Ready To Move,Rajaji Nagar,5000.0,4.0,0.0,375.0,4,7500.0,1250.0
Plot  Area,Ready To Move,Mahadevpura,3295.0,4.0,2.0,260.0,5,7890.744,659.0
Plot  Area,Ready To Move,A Narayanapura,1150.0,3.0,1.0,110.0,4,9565.217,287.5
Plot  Area,18-Jul,Whitefield,1200.0,3.0,1.0,61.96,3,5163.333,400.0
Built-up  Area,Ready To Move,Poorna Pragna Layout,965.0,2.0,2.0,48.0,2,4974.093,482.5
Plot  Area,Ready To Move,Gottigere,812.0,1.0,1.0,26.0,1,3201.97,812.0
Super built-up  Area,Ready To Move,KR Puram,1100.0,2.0,2.0,43.0,2,3909.091,550.0
Super built-up  Area,Ready To Move,Whitefield,1180.0,2.0,2.0,41.0,2,3474.576,590.0
Super built-up  Area,Ready To Move,HSR Layout,1145.0,2.0,2.0,48.0,2,4192.14,572.5
Super built-up  Area,Ready To Move,Haralur Road,1027.0,2.0,1.0,44.0,2,4284.323,513.5
Super built-up  Area,18-Apr,Silk Board,1215.0,2.0,2.0,49.85,2,4102.881,607.5
Plot  Area,Ready To Move,Hegde Nagar,1200.0,2.0,0.0,75.0,2,6250.0,600.0
Super built-up  Area,Ready To Move,Kenchenahalli,1015.0,2.0,2.0,58.0,2,5714.286,507.5
Plot  Area,18-May,Kaggalipura,2400.0,3.0,1.0,165.0,3,6875.0,800.0
Plot  Area,Ready To Move,Whitefield,3000.0,4.0,3.0,306.0,4,10200.0,750.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,3300.0,4.0,3.0,160.0,3,4848.485,1100.0
Super built-up  Area,Ready To Move,Puttanahalli,1076.0,2.0,2.0,52.0,2,4832.714,538.0
Super built-up  Area,18-Dec,JP Nagar,1300.0,2.0,1.0,109.0,2,8384.615,650.0
Built-up  Area,Ready To Move,Hebbal Kempapura,1300.0,2.0,2.0,102.0,2,7846.154,650.0
Super built-up  Area,19-Jun,Hosa Road,1512.0,3.0,1.0,123.0,3,8134.921,504.0
Carpet  Area,18-Dec,Bhoganhalli,1053.4,3.0,1.0,88.91,3,8440.289,351.133
Super built-up  Area,Ready To Move,Yeshwanthpur,605.0,1.0,0.0,41.745,1,6900.0,605.0
Super built-up  Area,Ready To Move,Hormavu,1153.0,2.0,1.0,65.0,2,5637.467,576.5
Plot  Area,Ready To Move,Virat Nagar,2080.0,2.0,1.0,150.0,2,7211.538,1040.0
Super built-up  Area,Ready To Move,Hulimavu,1255.0,2.0,2.0,69.0,2,5498.008,627.5
Built-up  Area,Ready To Move,Bannerghatta Road,1280.0,5.0,2.0,260.0,4,20312.5,320.0
Super built-up  Area,Ready To Move,Marathahalli,1583.0,3.0,3.0,109.0,3,6885.66,527.667
Super built-up  Area,Ready To Move,Kundalahalli Colony,1505.0,2.0,2.0,90.0,2,5980.066,752.5
Super built-up  Area,Ready To Move,Kathriguppe,1365.0,2.0,2.0,75.08,3,5500.366,455.0
Plot  Area,Ready To Move,Dwarka Nagar,1200.0,3.0,3.0,95.75,3,7979.167,400.0
Super built-up  Area,Ready To Move,Amblipura,1810.0,4.0,3.0,148.0,3,8176.796,603.333
Built-up  Area,Ready To Move,Magadi Road,440.0,1.0,0.0,35.0,1,7954.545,440.0
Super built-up  Area,Ready To Move,Subramanyapura,975.0,2.0,1.0,63.0,2,6461.538,487.5
Super built-up  Area,Ready To Move,Doddagubbi,1250.0,2.0,3.0,39.0,2,3120.0,625.0
Super built-up  Area,Ready To Move,Gopalkrishna Nagar,1530.0,2.0,1.0,97.0,3,6339.869,510.0
Super built-up  Area,Ready To Move,Kereguddadahalli,1300.0,2.0,2.0,39.0,3,3000.0,433.333
Super built-up  Area,Ready To Move,Channasandra,1115.0,2.0,1.0,40.0,2,3587.444,557.5
Super built-up  Area,Ready To Move,Sarjapur  Road,1308.0,2.0,1.0,83.0,2,6345.566,654.0
Super built-up  Area,Ready To Move,Uttarahalli,1490.0,2.0,2.0,59.6,3,4000.0,496.667
Plot  Area,Ready To Move,Bannerghatta Road,10000.0,4.0,0.0,450.0,4,4500.0,2500.0
Super built-up  Area,19-Apr,Sarjapur  Road,1592.0,3.0,1.0,91.0,3,5716.08,530.667
Super built-up  Area,18-Jun,Rajaji Nagar,1222.0,2.0,0.0,112.0,2,9165.303,611.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,1267.0,2.0,2.0,42.85,2,3382.005,633.5
Super built-up  Area,Ready To Move,Balagere,656.0,1.0,1.0,53.0,1,8079.268,656.0
Plot  Area,Ready To Move,Dodda Nekkundi,3400.0,4.0,3.0,530.0,4,15588.235,850.0
Built-up  Area,Ready To Move,Garudachar Palya,4500.0,5.0,2.0,400.0,4,8888.889,1125.0
Plot  Area,18-Nov,Chandapura,1200.0,1.0,1.0,36.0,2,3000.0,600.0
Super built-up  Area,Ready To Move,Thanisandra,1698.0,3.0,2.0,102.0,3,6007.067,566.0
Built-up  Area,Ready To Move,Tata Nagar,1500.0,3.0,2.0,70.0,3,4666.667,500.0
Plot  Area,Ready To Move,Sunkadakatte,2000.0,5.0,0.0,80.0,4,4000.0,500.0
Super built-up  Area,18-Mar,Electronic City,1152.0,2.0,1.0,65.75,2,5707.465,576.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,550.0,1.0,0.0,21.0,1,3818.182,550.0
Super built-up  Area,Ready To Move,Pattandur Agrahara,900.0,2.0,2.0,42.0,2,4666.667,450.0
Super built-up  Area,18-Mar,Rajarajeshwari nagar,1410.0,2.0,2.0,45.12,3,3200.0,470.0
Built-up  Area,Ready To Move,Akshaya Nagar,1419.0,2.0,3.0,73.0,3,5144.468,473.0
Super built-up  Area,Ready To Move,Amruthahalli,1200.0,2.0,1.0,55.0,2,4583.333,600.0
Super built-up  Area,Ready To Move,AECS Layout,1800.0,3.0,3.0,65.0,3,3611.111,600.0
Super built-up  Area,Ready To Move,Gottigere,990.0,2.0,1.0,40.0,2,4040.404,495.0
Super built-up  Area,Ready To Move,Sarjapur  Road,1016.0,2.0,1.0,45.0,2,4429.134,508.0
Super built-up  Area,Ready To Move,Bannerghatta Road,1100.0,2.0,0.0,39.0,2,3545.455,550.0
Built-up  Area,Ready To Move,Ramamurthy Nagar,850.0,2.0,1.0,65.0,4,7647.059,212.5
Super built-up  Area,Ready To Move,Whitefield,1095.0,2.0,1.0,35.0,2,3196.347,547.5
Super built-up  Area,Ready To Move,Rajarajeshwarinagar,2000.0,3.0,2.0,85.0,3,4250.0,666.667
Super built-up  Area,Ready To Move,Budigere,1444.0,2.0,2.0,70.0,2,4847.645,722.0
Super built-up  Area,Ready To Move,Whitefield,1415.0,2.0,3.0,67.0,2,4734.982,707.5
Plot  Area,Ready To Move,Jinkethimmanahalli,1500.0,2.0,1.0,130.0,3,8666.667,500.0
Super built-up  Area,Ready To Move,Daadys Gaarden Layout,1600.0,3.0,3.0,72.0,3,4500.0,533.333
Super built-up  Area,Ready To Move,Whitefield,1105.0,2.0,1.0,41.36,2,3742.986,552.5
